sphere;shortName;onMap?;gridRef;xCoord;yCoord;sphereRadius;primaryBody;Planet 1;Orbit Radius (million miles);Orbit Track;Planet 2;Orbit Radius (million miles);Orbit Track;Planet 3;Orbit Radius (million miles);Orbit Track;Planet 4;Orbit Radius (million miles);Orbit Track;Planet 5;Orbit Radius (million miles);Orbit Track;Planet 6;Orbit Radius (million miles);Orbit Track;Planet 7;Orbit Radius (million miles);Orbit Track;Planet 8;Orbit Radius (million miles);Orbit Track;Planet 9;Orbit Radius (million miles);Orbit Track;Planet 10;Orbit Radius (million miles);Orbit Track;Planet 11;Orbit Radius (million miles);Orbit Track;Planet 12;Orbit Radius (million miles);Orbit Track;Planet 13;Orbit Radius (million miles);Orbit Track;Planet 14;Orbit Radius (million miles);Orbit Track;Planet 15;Orbit Radius (million miles);Orbit Track;Planet 16;Orbit Radius (million miles);Orbit Track;Planet 17;Orbit Radius (million miles);Orbit Track;Planet 18;Orbit Radius (million miles);Orbit Track;Planet 19;Orbit Radius (million miles);Orbit Track;Planet 20;Orbit Radius (million miles);Orbit Track;Planet 21;Orbit Radius (million miles);Orbit Track;Planet 22;Orbit Radius (million miles);Orbit Track;Planet 23;Orbit Radius (million miles);Orbit Track;region;flowRiver;population;activity;controlled;description;source;creator;website;isKnown
Darkspace;Dark;Yes;H9;208;181;2824;Hope;The Breach;1;I0;New Thesalys;;;Verin;94;I5;Forbidden Reach;1412;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Human;Moderate;Thesalys;SJA3 Crystal Spheres;SJA3 p39-56;TSR;;no
Greyspace;Grey;Yes;H9;192;205;8000;Oerth;Kule;10;I1;Raenei;30;I2;Liga;100;I5;The Grinder;200;I10;Edill;400;O1;Gnibile;600;O2;Conatha;1000;O3;Ginsel;1500;O4;Borka;2000;O5;Greela;3000;O8;The Spectre;4000;O10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Various;High;IEN;Greyspace is a sphere created for the Greyhawk campaign world.;SJR6 Greyspace;TSR;;yes
Kanisspace;Kanis;Yes;J10;221;167;2290;;;70;I4;;130;I7;;232;I12;;385;O1;;1145;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kobolds & Gnolls;Medium;Humanoids;Sphere dominated by Kobolds, Gnolls, and other canine humanoids.;;;;yes
Saruspace;Saru;Yes;J11;236;155;9000;Saruthillion;Calithorn;18,6;I1;Farithm;28;I1;Durgoth;;;Aloth;;;Baraduithin;280;I14;Maranuir;986;O2;Bomryn;;;Belemir Belt;4500;O11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;Isolated, few habitable worlds;;wolfonenet;http://home.fuse.net/wolfonenet/crystal_spheres.htm;yes
Umbraspace;Umbra;Yes;J12;235;113;2498;;;106;I5;;224;I11;;436;O1;;1249;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Another ancient sphere, home of the titans.;;Charles Taylor;;yes
Oortspace;Oort;Yes;J12;228;129;896;;;28;I1;;72;I4;;120;I6;;192;I10;;313;O1;;448;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Oortlings;High;Illithids;Home sphere of the Oortlings;;Charles Taylor;;yes
Salzarspace;Salzar;Yes;J13;216;84;100;Salzar;;50;I3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;http://www.archlich.com/kotsc/Places/VodoniCluster/Salzarspace.html;yes
Nerenspace;Neren;Yes;J13;218;98;2430;Plant;The Fire Wheel;46;I2;Torquon;114;I6;Flambach;166;I8;Gnassas;228;I11;Thark;394;O1;Gur'rith;1215;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;no
Sungspace;Sung;Yes;J16;222;29;12048;;;49;I2;;112;I6;;218;I11;;375;O1;;1593;O4;;2814;O7;;4356;O11;;6024;O15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;;;Neogi;Oriental Neogi Empires;;Charles Taylor;;no
Gossamerspace;Gossamer;Yes;J2;222;361;840;Serril;Endeir;72;I4;Kodizana;112;I6;Perathen;131;I7;Sacafeda;208;I10;Ulforin;345;O1;Rayelmi;420;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blackdaggr;;yes
Runedarspace;Runedar;Yes;J4;227;317;4048;Bryn;Ithindar;104;I5;Myrios;190;I10;Thorak-Din;269;I13;Ororin;359;O1;Saros;1589;O4;Phymldar;2024;O5;Phymldar Asteroids;2024;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dwarves;High;Dwarves;Runedarspace has three Wormholes that allow for accelerated travel to other spheres;;Toby Mekelburg;;yes
Astralspace;Astral;Yes;J4;215;330;4380;Astra;The Rimfelsir Belt;112;I6;Chenia;131;I7;New Baator;264;I13;Cube 572;350;O1;Poltina;802;O2;Jurgarten;1392;O3;Nyseme;1869;O5;Tonzura;2190;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Flow;;;;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html;yes
Pirtelspace;Pirtel;Yes;J6;218;280;2000;Pirtel;Mor Wake;200;I10;Archin;400;O1;Guinmir's Band;700;O2;Century;1000;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Various;Medium;None;Mentioned in Dungeon #36 and #45;Dungeon #36, #45;TSR;;yes
Refugespace;Refuge;Yes;J7;228;236;472;Blaze;Below;135;I7;Welcome;236;I12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Arcane;High;Arcane;Arcane controlled sphere designed by Ed Greenwood and found in Dragon #159;Dragon #159;TSR/Ed Greenwood;www.spelljammer.org/worlds/Refuge;yes
Matrispace;Matri;Yes;J7;234;240;562;;;59;I3;;103;I5;;142;I7;;281;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Matri;;;;;Azaghal;;yes
Netherspace;Nether;Yes;J8;230;216;800;;;400;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;Netherese;Netherese colony sphere;;;;yes
Realmspace;Realm;Yes;J8;217;230;3200;The Sun, Realmspace;Anadia;50;I3;Coliar;100;I5;Toril;200;I10;Karpri;300;I15;Chandos;400;O1;Glyth;1000;O3;Garden;1200;O3;H'Catha;1600;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Various;High;IEN;Realmspace is a sphere designed for the campaign world of Forgotten Realms.;SJR2 Realmspace;TSR/Ed Greenwood;;yes
Arkaelaspace;Arkaela;Yes;J9;217;185;872;The Sun, Arkaelaspace;Arkaela;124;I6;Arobarelless;298;I15;Gozan;436;O1;Bleem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Various;Low;None;Cthulu sphere;;Abbadon;http://arkaela.tripod.com;no
Patriaspace;Patria;Yes;J9;236;185;4000;;Delos;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20030428080250/http://www.grayskies.net/graf/SJ.htm;yes
Greatspace;Great;Yes;J9;221;200;3442;Lanth;Karrington;23;I1;Skora;45;I2;Thesalys;92;I5;Lagor's World;221;I11;The Aegis;274;I14;Longpoint;398;O1;Hecht;1211;O3;Boran;1721;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Various;High;Thesalys;"Greatspace is a sphere created for the campaign module SJA3 ""Crystal Spheres""";SJA3 p.30-32;TSR;;yes
Bandorspace;Bandor;Yes;K1;250;388;3970;Bandor Cluster;;1985;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sphere containing the Bandor Cluster.;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Agraspace;Agra;Yes;K10;259;162;4000;Hearth;Scorch;50;I3;Manalith;80;I4;Gortharin;100;I5;Graedor;125;I6;Stout;350;O1;Mithore;400;O1;Sparklebelt;700;O2;Moleshome;850;O2;Vergadain's Road;;;Darkness;1200;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dwarves;Average;Clan Warcry;;;Enildarion;http://lost.spelljammer.org/Enildarion/enerspagraspace.html;yes
Nithspace;Nith;Yes;K10;258;175;6000;;;3000;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20030428080250/http://www.grayskies.net/graf/SJ.htm;no
Dreadmindspace;Dreadmind;Yes;K11;247;135;6044;Dreadstar;Qualmind;88;I4;Phobios;122;I6;Revulas;184;I9;Angstar;242;I12;Aversia;407;O1;Fearon;1621;O4;Dismaia;2022;O5;Abhorrenon;3022;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Illithids;High;IEN;;;Piet Kramer;lost.spelljammer.org/Dawnspace/;yes
Starspace;Star;Yes;K13;239;85;3234;Prime Star;;1617;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;The crystal sphere is much larger than it should be, given that it houses only one celestial body. The entire Crystal Sphere is filled with millions upon millions of iridescent particles. The particles all glow with bright radiance akin to the stars of a night sky. They vary in size from that of a grain of sand to a small asteroid. These particles will pass freely through a ship's air envelope and settle upon the ship itself. When the ship leaves the crystal sphere it will glow with a radiance similar t;;Max Currier;;no
Cthonspace;Cthon;Yes;K13;254;105;1000;;;500;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Low;Illithids;;;Charles Taylor;;no
Chronosspace ;Chronos;Yes;K14;240;69;1656;Chronos;Eros;76;I4;Pyrus;189;I9;Aquilus;238;I12;Caelus;427;O1;Horologius;828;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;Various;Low;None;;;Jonathan Stevenson;;no
Kreenspace;Kreen;Yes;K15;252;52;0;;Xixchil Homeworld;;;Thri-Kreen Homeworld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;Thri-Kreen;High;Kreen Empire;Dominated by Thr-Kreen and Xixchil (see Thri-Kreen of Athas p.84);Thri-Kreen of Athas p.84;TSR;;no
Cy'Prenspace;Cy'Pren;Yes;K3;261;333;3840;Suryn;Kyral;120;I6;Vistrilon;120;I6;Tayorala;1920;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elven Territory;;Various;Low;Self (Sealed);Setting for Penderyn Campaign;;D.M.Christopher;www.dmchristopher.com/toc.htm;no
Beltoun;Beltoun;Yes;K3;249;348;2488;Beltoun/Marth;Karanst;15;I1;Sapalash;145;I7;Gordu;217;I11;Xafibel;827;O2;Talf;1244;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;Various;Medium;None;Beltoun to Taul = 45 days, Taul to S'Sirenth = 35 days, Beltoun from Calatain = 35 days, Beltoun to Claatain = 50 days;Spike's Hammer;;https://www.oocities.org/timessquare/lair/3989/places/if001/belframe.html;yes
Calatainspace;Calatain;Yes;K4;243;323;446;Ruby;Calatain;125;I6;Crusher;223;I11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;Various;Medium;None;;Spike's Hammer;;https://www.oocities.org/timessquare/lair/3989/places/if002/calframe.html;yes
Darnannonspace;Darnannon;Yes;K5;246;302;3926;Darnan;Dolbuth;19;I1;Darnannon;147;I7;Orthean;230;I12;Sha Loch;414;O1;Kar Loch;1963;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner flow;;;IEN;Elf dominated;Dungeon #36, Spike's Hammer;TSR;https://www.oocities.org/timessquare/lair/3989/places/if003/darframe.html;yes
Solarisspace;Solaris;Yes;K6;249;273;16800;Solaris;Aramoth;25;I1;Hydraxa;88;I4;Cartania;102;I5;Karadex;;;Iris;;;Tyrisa;;;Ephos;;;Gandorine;;;Octerak;;;Swarm;;;Playards;;;Beros;;;Shorakoth;;;Caronax;;;Tileria;;;Beacon;8400;O21;;;;;;;;;;;;;;;;;;;;;;;;Various;Medium;Self;Inner surface of sphere is habitable, A member of the Pentiacate;;Richard J. Pugh;lost.spelljammer.org/Anacostia/Solaris;yes
Mirrorspace;Mirror;Yes;K8;247;220;3172;Sun, Mirrorspace;Fire World;64;I3;Desert World;155,671840354767;I8;Mirror Prime;345,922974767596;O1;Melodya;583,237250554324;O1;Tamargon;822,634146341463;O2;Dead World;963,831485587583;O2;Wartorn;1268,93126385809;O3;The Backwaters;1586,23503325942;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;;High;;;;Tauster;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=2234;yes
Etherspace;Ether;Yes;K8;255;230;3152;Giant Planar Rift;Blazing Eight;61;I3;;87;I4;;129;I6;;169;I8;;280;I14;;403;O1;;1576;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=1797;yes
Grommspace  ;Gromm;Yes;K9;252;198;5000;Ntwadumela;Umbala;1000;O3;Gaya;2000;O5;Sawai;2500;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Ape races;Medium;Gromman;Home sphere of Gromman & Hadozee;;Paul Westermeyer;www.spelljammer.org/worlds/Grommspace;yes
Pheolitespace;Pheolite;Yes;L/M6;288;262;4000;Pheos;Lagorith;40;I2;Sun's Girdle;60;I3;Ethwuld/Dethwuulf;100;I5;Artimis;1000;O3;Chaos;1500;O4;Outreach;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Known Spheres, Maelstrom;;Various;High;Sunflow/IEN;Center of the Maelstrom and thus visited by many spelljammers. Twilitespace is both the hub of trade and the center of civilization for the entire Maelstrom. Elves, humans, giants, and goblins were all born in this sphere. also known as Twilightspace.;Hackjammer p.125;Adam Miller;www.spelljammer.org/worlds/Maelstrom/Twilitespace/;yes
The Maelstrom;The Maelstrom;No;L/M6-7;288;262;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes
Harthspace;Harth;Yes;L1;284;385;892;Sun, Harthspace;Macgarth;59;I3;Alava, Harthspace;139;I7;Harth;176;I9;Traven;259;I13;Zeanith;446;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;On Hammer flow, 50 days from S'Sirenth, 35 days from Taul;Spike's Hammer;;https://www.oocities.org/timessquare/lair/3989/places/if004/harframe.html;yes
Alavaspace;Alava;Yes;L1;272;401;2800;Sun, Alavaspace;Alava;1400;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;Hartonia;Small, remote sphere;Spike's Hammer;;http://www.oocities.org/timesquare/lair/3989/places/os001/Alavaopen.html;no
Neverspace;Never;Yes;L10;275;161;1000;Sun, Neverspace;;100;I5;;200;I10;Neverness;500;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;PC's homeworld in Monsterous Arcana modules;Dawn of the Overmind;TSR;;yes
Falynspace;Falyn;Yes;L10;272;170;2370;Falynanor;Falyn 1;59;I3;Falyn 2;178;I9;Aerlofalyn;290;I15;Falyn 4;416;O1;Falyn 5;1185;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elves;Medium;IEN;World of Aerofalyn was sacked by Goblinoids during the First Unhuman War.;TCMC3;Roger E. Moore;;yes
Herdspace;Herd;Yes;L10;288;178;560;Central Daystar;Shell Land;280;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;"Herdspace is a sphere mentioned of in the Cloakmastercycle ""The Maelstrom's Eye"" (TCMC3 p.49).";TCMC3 p.49;TSR;;no
Truespace;True;Yes;L11;264;152;800;Sun, Truespace;Penumbra;400;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Huge sphere, Illithid/Gith races home sphere;Dawn of the Overmind;TSR;;no
Squarmspace;Squarm;Yes;L12;283;116;4832;S'Iliuru Pi;Eusoeqy;124;I6;Jol-Teji;187;I9;Utnuif;220;I11;Ibjiu-Iekt;405;O1;Ejo'Fyuyr;2041;O5;Wpoep-Dlikhe;2416;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes
Chiaroscurospace;Chiaroscuro;Yes;L13;268;96;1576;;;35;I2;;102;I5;;130;I7;;193;I10;;277;I14;;368;O1;;788;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;no
Outspace  ;Out;Yes;L14;279;76;540;Hum;Tirorka;103;I5;Eechinos;196;I10;The Portal;270;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trulian Ring;CD5;Moderate;Commonrule;It receives it's name from the portal which exits ships from Inspace.;;Rovion;;no
Taulspace;Taul;Yes;L2;266;371;2394;;;74;I4;;143;I7;;172;I9;;284;I14;;418;O1;;1197;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammerflow;;;;;Spike's Hammer;;;yes
Seldarspace;Seldar;Yes;L3;281;344;7400;Angharradh;Araushnee;500;O1;Lareth;1200;O3;Lashrael;1800;O5;Felarathael;1800;O5;Leafhome;3100;O8;Mestarine;3700;O9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elves;High;IEN;IEN home base;;Enildarion;lost.spelljammer.org/Enildarion/enerspseldarspace.html;yes
Korvspace;Korv;Yes;L4;279;324;3520;Tezcat;Korvada;230;I12;Trerze;460;O1;Sidar;600;O2;Klegrn's Bones;810;O2;Lipoca;1080;O3;Ilthurk;1330;O3;Glayse;1440;O4;Quetze;1760;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arcane Inner Flow;Elves;High;IEN;Elven dominated sphere from Polyhedron #81;Polyhedron #81;TSR;;yes
Thornspace  ;Thorn;Yes;L5;275;300;8924;Yaggdrysil;Mulch;29;I1;Seed Cloud;72;I4;Patch;176;I9;Birth Garden;225;I11;Forest;441;O1;Bramble;2382;O6;Briar;3615;O9;Comets;4462;O11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elves;High;IEN;Sphere is briefly mentioned in Dragon Issue 175, page 4. An elven controlled sphere known for its gargantuan thorn worlds Bramble and Briar. Scro and Illithids sometimes attempt to scout it (at great peril) on the assumption it is the choise location for Lionheart. Non-elves are not tolerated within the sphere and a war-clan of loyal Bionoids is always on the ready to help enforce the elven claim. A major resupply station of the IEN is located within the branches of Bramble. Many smaller elven communiti;Dragon #175;TSR/Terry Hawkins;;no
Tyrspace;Tyr;Yes;L6;277;268;2400;Wink;Thaoul;80;I4;Torrent;160;I8;Rizzen;260;I13;Copper Nebula;400;O1;Argon's World;1200;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;Defense Fleet;"The ""Place of Tears,"" Tyrspace's civilizations was shaped centuries ago by evil Raer sorcerers, who used it as a testing ground for their experiments. From those experiments were born the centaurs, satyrs, and minotaurs.";;Adam Miller;www.spelljammer.org/worlds/Maelstrom/Tyrspace/;yes
Diamondspace;Diamond;Yes;L6;286;275;4172;Gemstone;;120;I6;;216;I11;;363;O1;;831;O2;;2086;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maelstrom;;Dwarves;High;Dwarves;This sphere is famous for it's gemstone sun and the homeworld of the dwarves. Countless asteriods, minor worlds, and gas giants are home to numerous and diverse civilizations.;;Adam Miller;www.spelljammer.org/worlds/Maelstrom/;yes
Icespace;Ice;Yes;L7;284;248;3214;Pale;Ice 1;114;I6;Ice 2;131;I7;Ice 3;215;I11;Ice 4;447;O1;Ice 5;785;O2;Ice 6;1607;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maelstrom;;;Low;None;Once the center of the Raer Empire and many relics from that shattered empire remain. The world of Pale is long thought the lost capital of the Raer, but it was nearly destroyed during the Rage of the Emperor. Descendants of the Raer continue to survive but have fallen into barbarism.;;Adam Miller;www.spelljammer.org/worlds/Maelstrom/;yes
Banesun;Banesun;Yes;L7;275;256;5000;Banesun;Gith's Fury;35;I2;Thrikos;85;I4;Hp'Xyn;90;I5;Bestial;120;I6;Shazzel;120;I6;Four Point;350;O1;The Gauntlet;500;O1;S'hilk;750;O2;Brightflame;900;O2;Dustbite;1200;O3;Nightshade;1600;O4;Frost;2000;O5;Darkstar;2400;O6;The Fringe;2500;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maelstrom;;Various;Medium;None;A hot, dry sphere that was once the center of a great illithid empire. New civilizations have risen from the ashes of the fallen empire seeking their own destinies. Great danger and incredible wealth awaits those that dare delve into the secrets of Banesun.;;Adam Miller;http://www.spelljammer.org/worlds/Maelstrom/Banesun/;yes
The Dead Shell;Dead Shell;Yes;L8;267;229;9600;Black Hole;Dead World 1;100;I5;Dead World 2;800;O2;Juna Outpost;4800;O12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SJA2 p.45;TSR;;no
Casaspace;Casa;Yes;L9;274;205;2000;“Sun”, Casaspace;Barre Sinister;160;I8;Shipwrecker;303;O1;Barbuda;620;O2;Grainfields;620;O2;Minial's Arch;620;O2;God's Marbles;587;O1;Diamondhammer's Stake;;;Numeliador;587;O1;Spiral;674;O2;Flicker;;;Rock of Bral;674;O2;Scavverbone;;;Unipaxala;900;O2;Ironpiece;1000;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;Known Spheres;Arcane Inner Flow;Various;High;None;"aka. Bralspace, Spiralspace, or Morunespace featured in ""The Maelstrom's Eye"" by Roger E. Moore";SJR4, SJR5, Hackjammer;Nigel Findley, Adam Miller, Paul Westermeyer;www.spelljammer.org/worlds/Bralspace;yes
Charmspace  ;Charm;Yes;M10;301;168;532;Sun, Charmspace;Dom;72;I4;Neo Dom;189;I9;Enchantress;266;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;The sphere is named so because anyone born within the sphere is charmed so as to not want to leave.;;Rovion;;yes
Aquaspace;Aqua;Yes;M11;289;149;2940;Whirlpool;Eternal 1;12;I1;Eternal 2;12;I1;The Great Reef;168;I8;Samhdi;228;I11;Shejkano;360;O1;Warldus;1470;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Aquatic;Low;None;Water-filled sphere;;Enildarion;http://lost.spelljammer.org/Enildarion/enerspaquaspace.html;yes
Garlandsphere;Garland;Yes;M12;306;122;5508;;;78;I4;;113;I6;;189;I9;;191;I10;;252;I13;;408;O1;;1165;O3;;2754;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithids;Medium;Illithids;near 'Malspace;Empire of Sand;;http://web.archive.org/web/20061107013915/http://www.hallofhero.com/sand/index.cfm?modac=Almalamut;yes
Fumanorspace;Fumanor;Yes;M13;294;106;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithids;; ;;http://www.campaignmastery.com/blog/seeds-of-empire-july-09/;no
Wormspace;Worm;Yes;M14;308;71;3190;Wormsun;Psurlon Homeworld;41;I2;Mulch;55;I3;;128;I6;Dhour Homeworld;144;I7;;210;I11;;1155;O3;Tsochari Homeworld;1595;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Origin of assoritid psychic worms;;ripvanwormer;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=4091&start=0;no
Lharnspace;Lharn;Yes;M15;298;35;742;;Lharn;88;I4;;186;I9;;285;I14;;371;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Beyond the Moons;Afterburner;http://www.spelljammer.org/worlds/locs/Lharn.html;no
Celenaresspace;Celenares;Yes;M2;296;360;2396;Bisreai;Locni;45;I2;Libb;107;I5;Ecurb;161;I8;Nodge;241;I12;Hechir;387;O1;Mitt;1198;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elven Territory;;Elves;High;IEN;;;Colin McComb/Big Mac;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=2791;yes
Twinspace;Twin;Yes;M3;312;345;894;Twin Suns;Gortec;117;I6;Cetrog;117;I6;Yittiy 1;236;I12;Yittiy 2;236;I12;Balrog;447;O1;Gorlab;447;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;IEN;It is named for the planets.;;Rovion;;yes
