name;size;diameter;shape;details;type;primaryBody;moons;rings;enviroment;population;description;sphere;shortName;onMap?;notes;source;creator;website
Thanatoi;D;;;;Earth;;;;;;;Mystaraspace;Mystara;Yes;Created after Asterius' destruction;;;
Valeriae;E;;;;Earth;;;;;;;Mystaraspace;Mystara;Yes;;;;
Vaniae;E;;;;Earth;;2;;;;;Mystaraspace;Mystara;Yes;;;;
Carcaros;D;;;Shark;Earth;;;;;;;Nacrespace;Nacre;Yes;Living world;;;
Chungg-Li;E;;;;Earth;;;;;;;Nacrespace;Nacre;Yes;White pearl;;;
Eye of the Deeps;A;;△;Tetrahedron;Earth;;;;;;;Nacrespace;Nacre;Yes;Juna artifact?;;;
Fheergolin;C;;;;Earth;;;;Seaweed covered;;;Nacrespace;Nacre;Yes;;;;
Fheng-Po;E;;;;Earth;;;;;;;Nacrespace;Nacre;Yes;Black pearl;;;
Jhangg-Lu;E;;;;Earth;;;;;;;Nacrespace;Nacre;Yes;Green pearl;;;
Megadonalos;C;;;Shark;Earth;;;;;;;Nacrespace;Nacre;Yes;Living world;;;
Ranmascea;B;;;Stingray;Earth;;;;;;;Nacrespace;Nacre;Yes;Living world;;;
Selachea;D;;;Shark;Earth;;;;;;;Nacrespace;Nacre;Yes;Living world;;;
Yurnescea;B;;;Stingray;Earth;;;;;;;Nacrespace;Nacre;Yes;Living world;;;
Nalkak;E;;;;Earth;;;;;;;Nalspace;Nal;Yes;;;;
Tho;A;;‡;;Earth;;;;;;;Nalspace;Nal;Yes;;;;
Noid;B;;❑;;Earth;;;;;;;Nebulaspace;Nebula;Yes;;;;
Flambach;B;;;;Earth;;;;Continuous Earthquakes;;;Nerenspace;Neren;Yes;;;;
Gur'rith;C;;△;Teardrop;Earth;;;;;Beastmen;;Nerenspace;Neren;Yes;;;;
Thark;D;;;;Earth;;;;Dry;;;Nerenspace;Neren;Yes;;;;
Nex;E;;;;Earth;;12;;;;;Nexspace  ;Nex;Yes;;;;
Goldblatt;F;;;;Earth;Voy;;;;;;Nivelspace;Nivel;Yes;;;;
Jinx;E;;Ο;;Earth;;;;;;;Nivelspace;Nivel;Yes;;;;
Nivel;J;90.000.000;‡;Solid Ring;Earth;;;;;;;Nivelspace;Nivel;Yes;;SJR4 p.40;;
Voy;A;;;;Earth;;1;Air;Void;;;Nivelspace;Nivel;Yes;;;;
Valendoar;C;;;;Earth;;;;;Elves;;Numosspace;Numos;Yes;;Beyond the Moons;Toby Mekelburg;http://www.spelljammer.org/worlds/locs/Valendoar.html
Aldredd;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
Aluvia;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
Dracos, Nyrodspace;;;;;Earth;;;;;Dragons, Githyanki;;Nyrodspace;Nyrod;Yes;;;;
Hel;;;;;Earth;;;;;Demons;;Nyrodspace;Nyrod;Yes;;;;
Holtern;;;;;Earth;Nyrod;;;;;;Nyrodspace;Nyrod;Yes;;;;
Kathenira;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
Methadria Cluster;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
N'gathia;;;;;Earth;Aldredd;;;Jungle;Mold men;;Nyrodspace;Nyrod;Yes;;;;
Neir;;;;;Earth;;;;;Gnomes;;Nyrodspace;Nyrod;Yes;;;;
Nyrod;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
Polbin;;;;;Earth;Shroud;;;;Moon Dragons;;Nyrodspace;Nyrod;Yes;;;;
Reldain;;;;;Earth;;;;;Vampires;;Nyrodspace;Nyrod;Yes;;;;
Shroud;;;;;Earth;;;;;;;Nyrodspace;Nyrod;Yes;;;;
Taginole;;;;;Earth;Nyrod;;;;Undead;;Nyrodspace;Nyrod;Yes;;;;
Tandris;;;;;Earth;;;;Plains, Forests;;;Nyrodspace;Nyrod;Yes;;;;
The remains of Shadow Keep;A;;;;Earth;Nyrod;;;;;;Nyrodspace;Nyrod;Yes;;;;
The Sanctum;;;;;Earth;Reldain;;;;;;Nyrodspace;Nyrod;Yes;Ruins;;;
Vudwa;;;;;Earth;Kathenira;;;;;;Nyrodspace;Nyrod;Yes;;;;
Akdor;E;;;;Earth;;;;;;;Octorspace;Octor;Yes;;;;
Octorea;F;;;;Earth;;;;;;;Octorspace;Octor;Yes;spacefaring civilisation;;;
Oyem;D;;❑;;Earth;;3;fire;;;;Octorspace;Octor;Yes;;;;
Duranus;E;;;;Earth;;;;;;;Omnispace;Omni;Yes;population in billions;;;
Omni;;;;;Earth;;;;;;;Omnispace;Omni;Yes;;;;
Aufrec;E;5.000;;;Earth;;;fire;Scub plains & desert;Firenewts;;Orthospace;Ortho;Yes;;;;
Erta;J;;;Potato;Earth;;;;Void;;;Orthospace;Ortho;Yes;;;;
Ortho;F;;;;Earth;;;;Earthlike;Mostly Lawful;single continent;Orthospace;Ortho;Yes;Harmonium – dominated;;;
Strec;F;;;;Earth;;4;;Earthlike;None;No animal life;Orthospace;Ortho;Yes;;;;
Osrad;E;;;;Earth;;;;;Goblin-kin;;Osraspace;Osra;Yes;;;;
Rasturell;C;900;;;Earth;;;;Very hot;Azur, Fire Elementals;;Osraspace;Osra;Yes;;;;
The Curtain;B;;‡;;Earth;;;;;;;Osraspace;Osra;Yes;;;;
Torsia;D;3.500;;;Earth;;1;;;None;;Osraspace;Osra;Yes;;;;
Arboria;;;;;Earth;;2;;;;;Osternaaspace;Osternaa;Yes;2 moons (Luna, Meridian);;;
Asteroid X;;;;;Earth;;;;;;;Osternaaspace;Osternaa;Yes;;;;
Octernaas;;;;;Earth;;1;;;;;Osternaaspace;Osternaa;Yes;;;;
Tarmitia;;;;;Earth;;;;;;;Osternaaspace;Osternaa;Yes;;;;
Tenebrosia;;;;;Earth;;;;;;;Osternaaspace;Osternaa;Yes;;;;
Eechinos;A;;;;Earth;;;;;;;Outspace  ;Out;Yes;;;;
Tirorka;A;;;;Earth;;;;;;;Outspace  ;Out;Yes;;;;
Alpha Cluster;G;50.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Beta Cluster;F;11.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Delta Cluster;G;60.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Epsilon Cluster;E;5.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Eta Cluster;D;1.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Gamma Cluster;G;70.000;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Zeta cluster;C;700;;;Earth;;;;;;;Passarspace;Passar;Yes;;;;
Astrylon;;;;;Earth;;;;;;;Pathspace;Path;Yes;;Spelljammer #10  'Exile on Taladas';;
Barrara;;;;;Earth;;;;;;;Pathspace;Path;Yes;;Spelljammer #10  'Exile on Taladas';;
Pelinore;G;81.000;◗;;Earth;;;;;;;Pelinorespace;Pelinore;Yes;;;;
Chaos;F;;;;Earth;;many;;Volcanic;;;Pheolitespace;Pheolite;Yes;Volcanic, many moons (Mindweep, Zorruth;;;
Ethwuld/Dethwuulf;E;;;;Earth;;3;;;;;Pheolitespace;Pheolite;Yes;3 moons (Lunithi, Ruinthi, Celenthi);;;
Lagorith;D;;;;Earth;;1;;;Azer, fire newts, dragons;;Pheolitespace;Pheolite;Yes;;;;
Outreach;E;;;;Earth;;3;;;;;Pheolitespace;Pheolite;Yes;Outcastes, 3 moons (K'pzzz'sh, Cor'zzune, Pulser);;;
Sun's Girdle;A;;‡;;Earth;;;;;;;Pheolitespace;Pheolite;Yes;Ocean ribbon;;;
Hourus;;;;;Earth;;;;;;;Pillarspace;Pillar;Yes;;;;
Minutus;;;;;Earth;;;;;;;Pillarspace;Pillar;Yes;;;;
Secundus;;;;;Earth;;;;;;;Pillarspace;Pillar;Yes;;;;
Brek|qq|zz;A;;◗;;Earth;;;;;;;Preyspace  ;Prey;Yes;;;;
Crossfire;D;;;;Earth;;;;;;;Preyspace  ;Prey;Yes;;;;
Neutrality;B;;;;Earth;;;;;;;Preyspace  ;Prey;Yes;;;;
Skull;A;;;Skull;Earth;;;;;;;Preyspace  ;Prey;Yes;;;;
Prime;E;;;;Earth;;;;;;;Primespace;Prime;Yes;;;;
Uvalessen;C;;Ο;;Earth;;;;;;;Primespace;Prime;Yes;;;;
Ashen;D;;;;Earth;;;;dust world;;;Pyrespace;Pyre;Yes;;;;
Chain of Tears;B;;‡;;Earth;;;;;;;Pyrespace;Pyre;Yes;;;;
Moradin's Forge;D;;;;Earth;;;;;;;Pyrespace;Pyre;Yes;;;;
Perianth;D;;;;Earth;;1;;;;;Pyrespace;Pyre;Yes;moon (Spider moon);;;
Verdura;E;;;;Earth;;;;Jungle Planet;;;Pyrespace;Pyre;Yes;;;;
Aius;D;;;;Earth;;2;;;;;Ragespace  ;Rage;Yes;;;;
Dark Crucifix;B;;△;Cylinder;Earth;;;;;;;Ragespace  ;Rage;Yes;;;;
Executioner;A;;;;Earth;;;;;;;Ragespace  ;Rage;Yes;Dead;;;
Kanoxx;D;;;;Earth;;4;;;;;Ragespace  ;Rage;Yes;4 moons ('Ulga, 'Feha, 'Nabuo, 'Blaze);;;
LordMasterBase;C;;;;Earth;;;;;Neogi;;Ragespace  ;Rage;Yes;;;;
Misplaced;J;;‡;;Earth;;;;;;;Ragespace  ;Rage;Yes;;;;
New Bral;A;;;;Earth;;;;;Pirates;;Ragespace  ;Rage;Yes;;;;
Order's Island;B;;◗;;Earth;;;;;;;Ragespace  ;Rage;Yes;Order;;;
Ore;B;;;;Earth;Aius;;;;;;Ragespace  ;Rage;Yes;;;;
Relic;E;;;;Earth;;;;Dead;;;Ragespace  ;Rage;Yes;;;;
Slutmoor;A;;◗;;Earth;;;;;;;Ragespace  ;Rage;Yes;;;;
Void;?;;‡;;Earth;;;;;;;Ragespace  ;Rage;Yes;;;;
Crystalribbon;A/B;;‡;;Earth;;;;;Primative Humans;;Ragestarspace;Ragestar;Yes;;;;
Dormoin;E;5.000;;;Earth;;;;;Giff;;Ragestarspace;Ragestar;Yes;;;;
Iberoth;;;‡;;Earth;;;;;Humans & Minotaurs;;Ragestarspace;Ragestar;Yes;;;;
Ilaalhazeig;E;8.000;;;Earth;Shaseth;;;;Illithids;Moon 3 of Shaseth;Ragestarspace;Ragestar;Yes;;;;
Merchant's Belt;A-D;;‡;;Earth;;;;;;;Ragestarspace;Ragestar;Yes;Many Nations;;;
Nashean;E;5.500;;;Earth;Shaseth;;;;Undead;Moon 8 of Shaseth;Ragestarspace;Ragestar;Yes;;;;
Nimladir;E;5.000;;;Earth;Thaskal-Ngr;;;;;Moon 16 of Thaskal-Ngr;Ragestarspace;Ragestar;Yes;Ruins;;;
Qex'pomili;E;8.000;;;Earth;;2;;Icy;;;Ragestarspace;Ragestar;Yes;;;;
Shaien;D;2.000;;;Earth;;;;Hot Rock;;;Ragestarspace;Ragestar;Yes;;;;
Skunitfar;E;9.000;;;Earth;Garolas;;;;Deepspawn;Moon 3 of Garolas;Ragestarspace;Ragestar;Yes;;;;
Thaneth;E;4.500;;;Earth;Shaseth;;;Fungus World;;Moon 1 of Shaseth;Ragestarspace;Ragestar;Yes;;;;
Thrormain;E;8.000;;;Earth;Garolas;;;;Dwarves;Moon 7 of Garolas;Ragestarspace;Ragestar;Yes;;;;
Thufur;F;14.500;;;Earth;;2;;Hot Rock;;;Ragestarspace;Ragestar;Yes;;;;
Winterlight;E;9.500;;;Earth;;;;;Elves;Melasiraenlith in High Elven;Ragestarspace;Ragestar;Yes;Major IEN port and elven world;;;
Yofijat'mi;E;8.000;;;Earth;Thaskal-Ngr;;;;Pirates of Gith;Moon 11 of Thaskal-Ngr;Ragestarspace;Ragestar;Yes;;;;
Zhl-Chal;;;‡;;Earth;;;;;;;Ragestarspace;Ragestar;Yes;;;;
Anadia;B;;;;Earth;;;;;;;Realmspace;Realm;Yes;;;;
Garden;A;;;;Earth;;;;;;;Realmspace;Realm;Yes;;;;
Glyth;E;;;;Earth;;;;;;;Realmspace;Realm;Yes;;;;
H'Catha;C;;◗;;Earth;;;;;;;Realmspace;Realm;Yes;;;;
Toril;E;;;;Earth;;1;;;;;Realmspace;Realm;Yes;;Forgotten Realms campigh setting, moon;;
Below;F;;;;Earth;;1;;;;;Refugespace;Refuge;Yes;moon (Refuge);;;
Welcome;A;;;;Earth;;;;;;;Refugespace;Refuge;Yes;;;;
Brimi;D;;;;Earth;;;;;;;Rhymespace;Rhyme;Yes;;;;
Dragar;F;;;;Earth;;;;;;;Rhymespace;Rhyme;Yes;;;;
Farm;D;;;;Earth;;;;;;;Rhymespace;Rhyme;Yes;;;;
Hantimi;D;;;;Earth;;2;;;;;Rhymespace;Rhyme;Yes;;;;
Rhymchaeld;F;;;;Earth;;;;;;;Rhymespace;Rhyme;Yes;;;;
The Hammer;A-C;;‡;;Earth;;;;;;;Rhymespace;Rhyme;Yes;;;;
Citadel Maker;J;;;;Earth;;;;;;;Rockspace  ;Rock;Yes;;;;
Fallux;F;;;;Earth;;;;;;;Rockspace  ;Rock;Yes;;;;
Toolfyd;C;;;;Earth;;;;;;;Rockspace  ;Rock;Yes;;;;
Glorantha;E;6.854;❑;;Earth;;2;;;;;Runespace;Rune;Yes;Runequest role playing game;Runequest;Greg Stafford;
Ithindar;C;;;;Earth;;1;;;;;Runedarspace;Runedar;Yes;moon (Asteroid cluster);;;
Myrios;C;;;;Earth;;;;;;;Runedarspace;Runedar;Yes;;;;
Ororin;D;;;;Earth;;1;;;;;Runedarspace;Runedar;Yes;;;;
Phymldar;D;;;;Earth;;;;;;;Runedarspace;Runedar;Yes;;;;
Phymldar Asteroids;A;;‡;;Earth;;;;;;;Runedarspace;Runedar;Yes;;;;
Thorak-Din;E;;;;Earth;;2;;;;;Runedarspace;Runedar;Yes;;;;
Dune;C;;;;Earth;;3;;;;;Sandspace  ;Sand;Yes;;;;
Juniper;H;;;;Earth;;;;;;;Sandspace  ;Sand;Yes;;;;
Thronton;C;;;;Earth;;;;;;;Sandspace  ;Sand;Yes;;;;
Aloth;E;;;;Earth;;2;;;;;Saruspace;Saru;Yes;2 moons (Legomir, Narzog);;;
Baraduithin;F;;;;Earth;;3;;5× gravity, cold;;;Saruspace;Saru;Yes;3 moons (Barakigil, Calabrant, Ologorn);;;
Belemir Belt;A;;‡;;Earth;;;;;;;Saruspace;Saru;Yes;main spelljamming culture;;;
Calithorn;E;;;;Earth;;;;void;;;Saruspace;Saru;Yes;;;;
Durgoth;F;;;;Earth;;;;triple-gravity, venus-like;;;Saruspace;Saru;Yes;;;;
Farithm;D;;;;Earth;;;;void, hot, internal caverns;;;Saruspace;Saru;Yes;;;;
Aerea;;;;Hollow;Earth;;;;;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Caerwyn;;;;;Earth;;;;Temperature Extremes;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Grenoriv;;;;;Earth;;;;hot;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Helatia;;;;;Earth;;;;Void;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Jraenor;;;;;Earth;;;;hot;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Luna;D;2.159;;;Earth;"Terra; Earth";;;;;;Sarûniaspace;Sarûnia;Yes;;;;
Moon (Luna);D;2.159;;;Earth;Terra: Earth;;;;;;Sarûniaspace;Sarûnia;Yes;;;;
Randojka;E;4.220;;;Earth;;;;;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Sholnara;E;7.918;;;Earth;;;;;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Terania;;;;;Earth;Sarûnia;;;;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Charr;;;;;Earth;;;;;;;Scarredspace;Scarred;Yes;;;;
Ravine;;;;;Earth;;;;;;;Scarredspace;Scarred;Yes;;;;
Ring of Asterius;;;‡;Ring;Earth;;;;;;;Scarredspace;Scarred;Yes;;;;
Araushnee;D;;;;Earth;;;;;;;Seldarspace;Seldar;Yes;Abandoned;;;
Felarathael;A;;;;Earth;;;;;;;Seldarspace;Seldar;Yes;;;;
Lareth;F;;;;Earth;;1;;;;;Seldarspace;Seldar;Yes;moon (The Crescent Moon);;;
Mestarine;C;;◗;;Earth;;1;;;;;Seldarspace;Seldar;Yes;moon (Twisted);;;
Akeema;;;;;Earth;;1;;;;;Seskotspace;Seskot;Yes;;;;
T'Larick;;;‡;;Earth;;;;;;;Seskotspace;Seskot;Yes;;;;
Ivussus;A;;;;Earth;;;;;;;Shadowspace;Shadow;Yes;;;;
Lukkum;B;;◗;;Earth;;;;;;;Shadowspace;Shadow;Yes;;;;
Pajjax;B;;◗;;Earth;;;;;;;Shadowspace;Shadow;Yes;;;;
Sohhoras;B;;;;Earth;;;;;;;Shadowspace;Shadow;Yes;;;;
Tryggyt;C;;◗;;Earth;;;;;;;Shadowspace;Shadow;Yes;;;;
The Lagan Zone;A-C;;‡;;Earth;;;;;;;Shamblespace;Shamble;Yes;100m wide;;;
Aureon;E;8.886;;;Earth;;;;cold desert;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Balinor;E;4.630;;;Earth;;;;Void, tidaly locked;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Boldrei;E;6.442;;;Earth;;;;Icy;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Ebberon;E;7926,38;;;Earth;;13;Siberys;;;;Shardspace;Shard;Yes;Ebberon campaign setting;;WotC;
Eberron Islands;A-C;;‡;;Earth;;;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Khyber Islands;A-C;;‡;;Earth;;;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Olladra;E;8.609;;;Earth;;8;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Onatar;E;4.630;;;Earth;;;;Void, tidaly locked;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Mockery;F;25.677;;;Earth;;4;;Arid, poisonous atmosphere;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Traveler;E;4.005;;;Earth;;;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Baripah;;;;;Earth;;;;desert;;;Silkspace  ;Silk;Yes;Asteroid Belt;;;
Biteray;;;;;Earth;;;;;;;Silkspace  ;Silk;Yes;Gamma World;;;
Chillwind;;;;;Earth;;;;;Undead;;Silkspace  ;Silk;Yes;;;;
Excell;;;;;Earth;;1;;;;;Silkspace  ;Silk;Yes;Super-heroes;;;
Jera;;;;;Earth;;2;;;;;Silkspace  ;Silk;Yes;Fantasy;;;
Oberah;;;;;Earth;;;;;;;Silkspace  ;Silk;Yes;High Tech;;;
Shreeve;;;;;Earth;;;;;;;Silkspace  ;Silk;Yes;Early Tech;;;
Arborianna;E-;;;;Earth;;;;;Gold Elves;;Sillusspace;Sillus;Yes;Captured by Scro;Evermeet: Island of the Elves p.87;TSR;
Charatic;C;;;;Earth;;;;;;;Skyspace  ;Sky;Yes;;;;
Huptee;A;;;;Earth;;;;;;;Skyspace  ;Sky;Yes;;;;
Cartania;E;;;;Earth;;4;;;;;Solarisspace;Solaris;Yes;4 moons (Lona, Irin, Shoki, Dira);;;
Hydraxa;E;;;;Earth;;1;;;;;Solarisspace;Solaris;Yes;85% sea;;;
Jewyll;D;;;;Earth;Iris;1;;;;;Solarisspace;Solaris;Yes;moon (Iris);;;
Karadex;A;;;;Earth;;;;;;;Solarisspace;Solaris;Yes;;;;
Playards;A;;;6 worldlets;Earth;;;;;;;Solarisspace;Solaris;Yes;6 worldlets;;;
Aldos;D;;;;Earth;;1;;;;;Solicespace  ;Solice;Yes;;;;
Apogee;E;;;;Earth;;2;;;;;Solicespace  ;Solice;Yes;;;;
Dante;D;;;;Earth;;;;;;;Solicespace  ;Solice;Yes;;;;
Millway;G;;;;Earth;;7;;;;;Solicespace  ;Solice;Yes;;;;
Vista;E;;;;Earth;;;;;;;Solicespace  ;Solice;Yes;;;;
Haven, Spiderspace;E;;;;Earth;;;1;;Drow;;Spiderspace;Spider;Yes;;;;
Prison;A;;◗;Disk;Earth;;;;cold desert;;;Spiderspace;Spider;Yes;Q1, level 4;;;
Shipyard;B;;;;Earth;;;;;;;Spiderspace;Spider;Yes;Artificial;;;
The Trap;D;;◗;Disk;Earth;;;;hot desert;;;Spiderspace;Spider;Yes;;;;
Drider;C;;◗;;Earth;;;;;;;Spiderspace part 2;Spider 2;Yes;;;;
Tranch;C;;◗;;Earth;;;;;;;Spiderspace part 2;Spider 2;Yes;;;;
Widow;C;;◗;;Earth;;;;;;;Spiderspace part 2;Spider 2;Yes;;;;
Crumbled;;;;;Earth;;;;;;;Spindlespace;Spindle;Yes;;;;
Godshome;E;7.000;;Hollow;Earth;;;;;;;Splatterspace;Splatter;Yes;;;;
Donema;D;;Ο;;Earth;;;;;;;Splitspace;Split;Yes;;;;
Sycrubin;H;;;;Earth;;;;;;;Splitspace;Split;Yes;;;;
Tybard;F;;❄;;Earth;;;;Void;;;Splitspace;Split;Yes;;;;
Kestriff;D;;Ο;;Earth;;;;;;;Splitspace part 2;Split 2;Yes;;;;
Naradia;H;;‡;;Earth;;;;;;;Splitspace part 2;Split 2;Yes;;;;
Goyiarilt;E;;;;Earth;;;;Rainforest;Squirrn;;Squirrnspace  ;Squirrn;Yes;Rainforest, Squirrn homeworl;;;
Reshgu;B;;;;Earth;;;;Rocky wilderness;;;Squirrnspace  ;Squirrn;Yes;;;;
Holistic;A;;Ο;Egg;Earth;;;;;;;Ssssspace  ;Ssss;Yes;;;;
Torus;F;;△;Torus;Earth;;;;;;;Ssssspace  ;Ssss;Yes;;SJR4 p.44;;
Forbidden Islands;B;;;;Earth;;;;Jungle;;;Ssuwspace;Ssuw;Yes;;;;
Hex;B;;◗;;Earth;;;;;;;Ssuwspace;Ssuw;Yes;;;;
Nightfell;B;;;;Earth;;;;;;;Ssuwspace;Ssuw;Yes;;;;
Shield of Havour;A;;‡;;Earth;;;;;;;Ssuwspace;Ssuw;Yes;;;;
The Broken Islands;C;;;;Earth;;;;;;;Ssuwspace;Ssuw;Yes;;;;
Akzaki;;;;;Earth;;;;Mountainous;Ogres;;Steel Star Space;Steel Star;Yes;;;;http://www.thepiazza.org.uk/bb/viewtopic.php?p=106943#p106943
Corrokui;;;;;Earth;;;;Swamp;Ogres;;Steel Star Space;Steel Star;Yes;Gargantua;;;http://www.thepiazza.org.uk/bb/viewtopic.php?p=106943#p106943
Ika-Aan;;;;;Earth;;;;Desert and Grassland;Ogres;;Steel Star Space;Steel Star;Yes;;;;http://www.thepiazza.org.uk/bb/viewtopic.php?p=106943#p106943
Korryl;;;;;Earth;;;;Forested;Ogres;;Steel Star Space;Steel Star;Yes;;;;http://www.thepiazza.org.uk/bb/viewtopic.php?p=106943#p106943
Kyku;D;;;;Earth;Ur-Yon;;;;;;Steel Star Space;Steel Star;Yes;;;;
Ryc;D;;◗;;Earth;Ur-Yon;;;;;Rice paddies;Steel Star Space;Steel Star;Yes;;;;
Stormspace 1;;;;;Earth;;;;;;;Stormspace;Storm;Yes;;;;
Stormspace 2;A;;‡;;Earth;;;;;;;Stormspace;Storm;Yes;;;;
Brandish;C;;;;Earth;;1;;;;;Swordspace  ;Sword;Yes;;;;
Helm;A;;;;Earth;;;;;;;Swordspace  ;Sword;Yes;Helmet shaped;;;
Sword;B;;;Sword;Earth;;;;;;;Swordspace  ;Sword;Yes;;;;
Talangran;E;;;;Earth;;;;;;;Talangranspace  ;Talangran;Yes;This planet holds the Talangran Empire, a spelljamming aware groundling nation with superior technology and a thirst for Elven slaves.;"Dungeon #34 ""The Lady Rose""";;
Caltrop;B;;△;;Earth;;;;;;;Tarraspace;Tarra;Yes;Tetrahedron- Juna Artifact;;;
Frost Ring;A;;‡;;Earth;;;;;;;Tarraspace;Tarra;Yes;;;;
Iron Ring;B;;‡;;Earth;;;;;;;Tarraspace;Tarra;Yes;;;;
Tarrasqueworld;E;;;;Earth;;;;;Tarrasques!;;Tarraspace;Tarra;Yes;;;;
Geb;E;;;;Earth;;1;;;;;Taur-Utu space;Taur-Utu;Yes;Tauran Empire, moon (Nanna-sin);;;
Girru;D;;;;Earth;;;;;;;Taur-Utu space;Taur-Utu;Yes;trojan asteroids;;;
Terraspace Belt;A-C;;‡;;Earth;;;;;;;Heliosspace;Terra;Yes;;;;
Mulch;;;‡;;Earth;;;;;;;Thornspace  ;Thorn;Yes;;;;
Kista-kar;C;;◗;;Earth;;;;;;;Thrustspace  ;Thrust;Yes;;;;
Kitamer;E;;;;Earth;;;;;;;Thrustspace  ;Thrust;Yes;;;;
Krtakit;F;;;;Earth;;1;;;;;Thrustspace  ;Thrust;Yes;;;;
Boreas;H;;;;Earth;;;;;;;Thuriaspace;Thuria;Yes;;;;
Quindelphos;D;;;;Earth;;1;fire;;;;Thuriaspace;Thuria;Yes;;;;
The Pixie;B;;;;Earth;;;;Void;;;Thuriaspace;Thuria;Yes;;;;
Thuria;E;;;;Earth;;;;;;;Thuriaspace;Thuria;Yes;;;;
Zidacos;G;;◗;;Earth;;3;;;;;Thuriaspace;Thuria;Yes;;;;
Reptile;D;;;;Earth;;1;;;;;Timespace  ;Time;Yes;;;;
Abet;A;;;;Earth;;;Air;;;;Tinyspace;Tiny;Yes;;;;
Bamat;A;;;;Earth;;;;warm seas;;;Tinyspace;Tiny;Yes;;;;
Becat;A;;;;Earth;;1;;;;;Tinyspace;Tiny;Yes;hot moon;;;
Cirat;A;;;;Earth;;;;;;;Tinyspace;Tiny;Yes;;;;
Eibet;A;;;;Earth;;;;;;;Tinyspace;Tiny;Yes;warm earth belt;;;
Fecat;A;;;;Earth;;;warm air;;;;Tinyspace;Tiny;Yes;;;;
Girat;A;;;;Earth;;1;;;;;Tinyspace;Tiny;Yes;warm moon;;;
Hamat;A;;;;Earth;;;;;;;Tinyspace;Tiny;Yes;;;;
Jecat;A;;;;Earth;;;;warm seas;;;Tinyspace;Tiny;Yes;;;;
Sun, Tinyspace;E;;;;Earth;;;;;;glows;Tinyspace;Tiny;Yes;;;;
Tibet;A;;;;Earth;;;;;;;Tinyspace;Tiny;Yes;warm earth belt;;;
Apocalypse;E;;;;Earth;;;;;;;Tornspace  ;Torn;Yes;;;;
Sunder;D;;;;Earth;;;;;;;Tornspace  ;Torn;Yes;;;;
Turmoil;D;;;;Earth;;;;;;;Tornspace  ;Torn;Yes;;;;
